question id	NRC PBMT	NRC PBMT2	NRC's NMT	Google's NMT (March 2017)
S1a	No,No,No	No,No,No	Yes,Yes,Yes	Yes,Yes,Yes
S1b	No,No,No	No,No,No	Yes,Yes,Yes	Yes,Yes,Yes
S1c	No,No,No	No,No,No	Yes,Yes,Yes	Yes,Yes,No
S2a	Yes,Yes,Yes	No,No,No	Yes,Yes,Yes	Yes,Yes,Yes
S2b	No,No,No	No,No,No	No,No,No	No,No,No
S2c	No,No,No	Yes,Yes,Yes	No,No,No	No,No,No
S2d	No,No,No	No,No,No	No,No,No	No,No,No
S3a	No,No,No	No,No,No	Yes,Yes,Yes	Yes,Yes,Yes
S3b	No,No,No	No,No,No	Yes,Yes,Yes	Yes,Yes,Yes
S3c	No,No,No	No,No,No	Yes,Yes,Yes	Yes,Yes,Yes
S4a1	No,No,No	No,No,No	Yes,Yes,Yes	Yes,Yes,Yes
S4a2 	No,No,No	No,No,Not applicable	Yes,Yes,Yes	Yes,Yes,Yes
S4a3	No,No,No	No,No,No	Yes,Yes,Yes	Yes,Yes,Yes
S4b1	No,No,No	No,No,No	Yes,Yes,Yes	Yes,Yes,Yes
S4b2	No,No,No	No,No,Not applicable	Yes,Yes,Yes	Yes,Yes,Yes
S4b3	No,No,No	No,No,No	Yes,Yes,Yes	Yes,Yes,Yes
S4c1	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes
S4c2	No,No,Not applicable	No,No,Not applicable	Yes,Yes,Yes	Yes,Yes,Yes
S4c3	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes
S4d1	No,No,No	No,No,No	Yes,Yes,Yes	No,No,No
S4d2	No,No,No	No,No,No	Yes,Yes,Yes	No,No,No
S4d3	No,No,No	No,No,No	No,No,Yes	No,No,No
S5a	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes
S5b	No,No,No	No,No,No	No,No,No	Yes,Yes,Yes
S5c	No,No,No	No,No,No	Yes,Yes,Yes	No,No,No
S5d	No,No,No	No,No,No	Yes,Yes,Yes	Yes,Yes,Yes
S6a	No,No,No	No,No,No	Not applicable,No,Not applicable	No,No,No
S6b	No,No,No	No,No,No	Yes,No,No	Yes,Yes,Yes
S6c	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes
S7a	No,No,No	No,No,No	No,No,No	No,No,No
S7b	No,No,No	No,No,No	No,No,No	No,No,No
S7c	No,No,No	No,No,No	No,No,No	No,No,No
S8a	No,No,No	No,No,No	Yes,Yes,Yes	Yes,Yes,Yes
S8b	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes
S8c	No,No,No	No,No,No	No,No,No	Yes,Yes,Yes
S9a	No,No,No	Yes,Yes,No	Yes,Yes,Yes	No,No,No
S9b	No,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes
S9c	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes
S10a	No,No,No	No,No,No	No,No,No	No,No,No
S10b	No,No,No	No,No,No	No,No,No	No,No,No
S10c	No,No,No	No,No,No	Yes,No,No	No,No,No
S10d	No,No,No	No,No,No	No,No,No	No,Yes,No
S11a	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes
S11b	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes
S11c	No,No,No	No,No,No	Yes,Yes,Yes	Yes,Yes,Yes
S11d	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes
S11e	No,No,No	No,No,No	Yes,Yes,Yes	Yes,Yes,Yes
S12a	Yes,No,Yes	No,No,No	Yes,Yes,Yes	Yes,Yes,Yes
S12b	No,No,No	No,No,No	No,No,No	No,No,No
S12c	No,No,No	No,No,No	Yes,Yes,Yes	Yes,Yes,Yes
S13a	No,No,No	No,No,No	No,No,No	Yes,Yes,Yes
S13b	No,No,No	No,No,No	No,No,No	No,No,No
S13c	No,No,No	Yes,No,Yes	Yes,No,Yes	Yes,Yes,Yes
S14a	No,No,No	No,No,No	Yes,Yes,Yes	Yes,Yes,Yes
S14b	Yes,Yes,Yes	Yes,Yes,Yes	No,No,No	Yes,Yes,Yes
S14c	No,No,No	Yes,Yes,Yes	Yes,Yes,Yes	No,No,No
S14d	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes
S14e	No,No,No	No,No,No	No,No,No	Yes,Yes,Yes
S14f	Yes,Yes,Yes	Yes,Yes,Yes	No,No,No	Yes,Yes,Yes
S14g	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes
S14h	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes	Yes,Yes,Yes
S14i	Yes,Yes,Yes	No,No,No	Yes,Yes,Yes	No,No,No
S15a	No,No,No	No,No,No	No,No,No	Yes,Yes,Yes
S15b	No,Yes,Yes	Yes,Yes,Yes	No,No,No	No,No,No
S15c	Yes,Yes,Yes	Yes,Yes,Yes	No,No,No	No,No,No
S15d	Yes,Yes,Yes	Yes,Yes,Yes	No,No,No	No,No,No
S15e	No,No,No	No,No,No	No,No,No	Yes,Yes,Yes
S15f	No,No,No	No,No,No	No,No,No	No,No,No
S16a	No,No,No	Yes,Yes,Yes	No,No,No	No,No,No
S16b	No,No,No	No,No,No	No,No,No	No,No,No
S17a	No,Yes,No	No,Yes,No	Yes,Yes,Yes	Yes,Yes,Yes
S17b	No,No,No	No,No,No	Yes,No,Yes	Yes,Yes,Yes
